record_type,city,lat,lon,scenario,period,season,metric,bound,value,source
future_profile,San Diego,32.7157,-117.1611,SSP5-8.5,2050,Summer,seasonal_mean_temp_c,hi,23.1,CCKP-CMIP6/WorldBank
future_profile,San Diego,32.7157,-117.1611,SSP5-8.5,2050,Summer,seasonal_precip_mm,hi,9.0,CCKP-CMIP6/WorldBank
future_profile,San Diego,32.7157,-117.1611,SSP5-8.5,2050,Fall,seasonal_mean_temp_c,median,21.0,CCKP-CMIP6/WorldBank
future_profile,San Diego,32.7157,-117.1611,SSP5-8.5,2050,Fall,seasonal_precip_mm,median,40.0,CCKP-CMIP6/WorldBank
future_profile,San Diego,32.7157,-117.1611,SSP5-8.5,2050,Fall,seasonal_mean_temp_c,lo,20.2,CCKP-CMIP6/WorldBank
future_profile,San Diego,32.7157,-117.1611,SSP5-8.5,2050,Fall,seasonal_precip_mm,lo,33.0,CCKP-CMIP6/WorldBank
future_profile,San Diego,32.7157,-117.1611,SSP5-8.5,2050,Fall,seasonal_mean_temp_c,hi,22.1,CCKP-CMIP6/WorldBank
future_profile,San Diego,32.7157,-117.1611,SSP5-8.5,2050,Fall,seasonal_precip_mm,hi,48.0,CCKP-CMIP6/WorldBank
future_profile,San Diego,32.7157,-117.1611,SSP5-8.5,2080s,Winter,seasonal_mean_temp_c,median,16.8,CCKP-CMIP6/WorldBank
future_profile,San Diego,32.7157,-117.1611,SSP5-8.5,2080s,Winter,seasonal_precip_mm,median,201.0,CCKP-CMIP6/WorldBank
future_profile,San Diego,32.7157,-117.1611,SSP5-8.5,2080s,Winter,seasonal_mean_temp_c,lo,15.5,CCKP-CMIP6/WorldBank
future_profile,San Diego,32.7157,-117.1611,SSP5-8.5,2080s,Winter,seasonal_precip_mm,lo,172.0,CCKP-CMIP6/WorldBank
future_profile,San Diego,32.7157,-117.1611,SSP5-8.5,2080s,Winter,seasonal_mean_temp_c,hi,18.1,CCKP-CMIP6/WorldBank
future_profile,San Diego,32.7157,-117.1611,SSP5-8.5,2080s,Winter,seasonal_precip_mm,hi,228.0,CCKP-CMIP6/WorldBank
future_profile,San Diego,32.7157,-117.1611,SSP5-8.5,2080s,Spring,seasonal_mean_temp_c,median,19.6,CCKP-CMIP6/WorldBank
future_profile,San Diego,32.7157,-117.1611,SSP5-8.5,2080s,Spring,seasonal_precip_mm,median,79.0,CCKP-CMIP6/WorldBank
future_profile,San Diego,32.7157,-117.1611,SSP5-8.5,2080s,Spring,seasonal_mean_temp_c,lo,18.4,CCKP-CMIP6/WorldBank
future_profile,San Diego,32.7157,-117.1611,SSP5-8.5,2080s,Spring,seasonal_precip_mm,lo,69.0,CCKP-CMIP6/WorldBank
future_profile,San Diego,32.7157,-117.1611,SSP5-8.5,2080s,Spring,seasonal_mean_temp_c,hi,20.7,CCKP-CMIP6/WorldBank
future_profile,San Diego,32.7157,-117.1611,SSP5-8.5,2080s,Spring,seasonal_precip_mm,hi,89.0,CCKP-CMIP6/WorldBank
future_profile,San Diego,32.7157,-117.1611,SSP5-8.5,2080s,Summer,seasonal_mean_temp_c,median,25.1,CCKP-CMIP6/WorldBank
future_profile,San Diego,32.7157,-117.1611,SSP5-8.5,2080s,Summer,seasonal_precip_mm,median,8.0,CCKP-CMIP6/WorldBank
future_profile,San Diego,32.7157,-117.1611,SSP5-8.5,2080s,Summer,seasonal_mean_temp_c,lo,24.3,CCKP-CMIP6/WorldBank
future_profile,San Diego,32.7157,-117.1611,SSP5-8.5,2080s,Summer,seasonal_precip_mm,lo,6.0,CCKP-CMIP6/WorldBank
future_profile,San Diego,32.7157,-117.1611,SSP5-8.5,2080s,Summer,seasonal_mean_temp_c,hi,27.3,CCKP-CMIP6/WorldBank
future_profile,San Diego,32.7157,-117.1611,SSP5-8.5,2080s,Summer,seasonal_precip_mm,hi,13.0,CCKP-CMIP6/WorldBank
future_profile,San Diego,32.7157,-117.1611,SSP5-8.5,2080s,Fall,seasonal_mean_temp_c,median,24.0,CCKP-CMIP6/WorldBank
future_profile,San Diego,32.7157,-117.1611,SSP5-8.5,2080s,Fall,seasonal_precip_mm,median,41.0,CCKP-CMIP6/WorldBank
future_profile,San Diego,32.7157,-117.1611,SSP5-8.5,2080s,Fall,seasonal_mean_temp_c,lo,21.9,CCKP-CMIP6/WorldBank
future_profile,San Diego,32.7157,-117.1611,SSP5-8.5,2080s,Fall,seasonal_precip_mm,lo,33.0,CCKP-CMIP6/WorldBank
future_profile,San Diego,32.7157,-117.1611,SSP5-8.5,2080s,Fall,seasonal_mean_temp_c,hi,26.0,CCKP-CMIP6/WorldBank
future_profile,San Diego,32.7157,-117.1611,SSP5-8.5,2080s,Fall,seasonal_precip_mm,hi,52.0,CCKP-CMIP6/WorldBank
